date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:11	185942/185942	---M-Z	200	added ('OK')	text/html	etag:W/%222d656-lXvABI7Qf4V++lP5i1bDJKP0Q3w%22	https://www.bewakoof.com/	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/www.bewakoof.com/index.html	(from )
14:40:11	457/457	---M-Z	200	added ('OK')	text/plain	etag:W/%22483-1910f7de2d0%22	https://www.bewakoof.com/robots.txt		(from )
14:40:12	152649/152649	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2225449-C0SMWk7zFEiG7nmxsEol61Pmf6g%22	https://www.bewakoof.com/https//www.googletagmanager.com	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/www.bewakoof.com/https/www.googletagmanager.com	(from https://www.bewakoof.com/)
14:40:12	152583/152583	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2225407-ROIQc9dOzXhnWKNgIEml/qElc/Y%22	https://www.bewakoof.com/e,location.href	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/www.bewakoof.com/e,location.href	(from https://www.bewakoof.com/)
14:40:12	457/457	---M--	200	added ('OK')	image/png	etag:W/%221c9-j4qjUHWP7PCeHwvalmtm31QuvBs%22	https://images.bewakoof.com/web/favicon-1635856217.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/images.bewakoof.com/web/favicon-1635856217.png	(from https://www.bewakoof.com/)
14:40:13	4006/4006	---M--	200	added ('OK')	image/png	etag:W/%22fa6-1HW14DIKaIwmKbI+XDGz45e3xgI%22	https://images.bewakoof.com/lib/icon/app-logo.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/images.bewakoof.com/lib/icon/app-logo.png	(from https://www.bewakoof.com/)
14:40:13	758/758	---M-Z	200	added ('OK')	application/json	etag:W/%222f6-1909e35e2d0%22	https://www.bewakoof.com/manifest.json	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/www.bewakoof.com/manifest.json	(from https://www.bewakoof.com/)
14:40:13	679/679	---M-Z	200	added ('OK')	text/xml	etag:W/%222a7-191293dd5e0%22	https://www.bewakoof.com/osdd.xml	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/www.bewakoof.com/osdd.xml	(from https://www.bewakoof.com/)
14:40:14	343307/343307	---M-Z	200	added ('OK')	text/css	etag:%228876d333ed25dd4c6bb4db10a3149161%22	https://static.bewakoof.com/www/app/style.80b4c4a79823c7a9520f.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/static.bewakoof.com/www/app/style.80b4c4a79823c7a9520f.css	(from https://www.bewakoof.com/)
14:40:15	152536/152536	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22253d8-/RkGXVWvFXvEz1oPzjpmd83N/OQ%22	https://www.bewakoof.com/GET	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/www.bewakoof.com/GET	(from https://www.bewakoof.com/)
14:40:15	38207/38207	---MC-	200	added ('OK')	application/javascript	date:Wed,%2007%20Aug%202024%2009:10:18%20GMT	https://microapps.google.com/apis/v1alpha/microapps.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/microapps.google.com/apis/v1alpha/microapps.js	(from https://www.bewakoof.com/)
14:40:16	824243/824243	---M-Z	200	added ('OK')	application/javascript	etag:%223d2d7cc0b55b915443ab73a58731784c%22	https://static.bewakoof.com/www/app/vendors-info-main-myaccount-panel.70a80222792aece91c4f.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/static.bewakoof.com/www/app/vendors-info-main-myaccount-panel.70a80222792aece91c4f.js	(from https://www.bewakoof.com/)
14:40:16	152773/152773	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22254c5-iby5LJOMLvmHuNja/jD9As3RmQY%22	https://www.bewakoof.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/www.bewakoof.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from https://www.bewakoof.com/)
14:40:16	128112/128112	---M-Z	200	added ('OK')	application/javascript	etag:%22140cc995c266b4485f9a374ae11c9457%22	https://static.bewakoof.com/www/app/vendors-info-main-panel.1414065db626b8ec800e.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/static.bewakoof.com/www/app/vendors-info-main-panel.1414065db626b8ec800e.js	(from https://www.bewakoof.com/)
14:40:17	1354669/1354669	---M-Z	200	added ('OK')	application/javascript	etag:%22efffd1e173b37088d714dc7ba2618b9f%22	https://static.bewakoof.com/www/app/main.4985ba39d57777a2ea19.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/static.bewakoof.com/www/app/main.4985ba39d57777a2ea19.js	(from https://www.bewakoof.com/)
14:40:17	370/370	---M--	200	added ('OK')	image/png	etag:W/%22172-zdEGqdOgDy5QD8qzwedHwynxN5E%22	https://images.bewakoof.com/web/down-2x-1539685344.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/taquish/bewawoof/images.bewakoof.com/web/down-2x-1539685344.png	(from https://static.bewakoof.com/www/app/style.80b4c4a79823c7a9520f.css)
